 ,Label,Area,Mean,Min,Max,Circ.,IntDen,RawIntDen,AR,Round,Solidity
136,ctrl-og-mel-15000.jpg,3172,255,255,255,0.637,808860,808860,1.120,0.893,0.885
137,ctrl-og-mel-15000.jpg,5018,255,255,255,0.569,1279590,1279590,1.636,0.611,0.868
138,ctrl-og-mel-15000.jpg,4593,255,255,255,0.667,1171215,1171215,1.553,0.644,0.887
139,ctrl-og-mel-15000.jpg,3736,255,255,255,0.513,952680,952680,2.234,0.448,0.801
140,ctrl-og-mel-15000.jpg,2252,255,255,255,0.396,574260,574260,2.716,0.368,0.768
141,ctrl-og-mel-15000.jpg,8222,255,255,255,0.679,2096610,2096610,1.904,0.525,0.905
142,ctrl-og-mel-15000.jpg,14081,255,255,255,0.735,3590655,3590655,1.125,0.889,0.929
143,ctrl-og-mel-15000.jpg,4401,255,255,255,0.692,1122255,1122255,1.452,0.689,0.911
144,ctrl-og-mel-15000.jpg,4099,255,255,255,0.551,1045245,1045245,2.130,0.470,0.840
145,ctrl-og-mel-15000.jpg,4066,255,255,255,0.659,1036830,1036830,1.062,0.941,0.876
146,ctrl-og-mel-15000.jpg,3274,255,255,255,0.772,834870,834870,1.275,0.785,0.929
147,ctrl-og-mel-15000.jpg,4210,255,255,255,0.621,1073550,1073550,1.400,0.714,0.919
148,ctrl-og-mel-15000.jpg,2861,255,255,255,0.633,729555,729555,1.902,0.526,0.911
149,ctrl-og-mel-15000.jpg,10706,255,255,255,0.331,2730030,2730030,1.930,0.518,0.809
150,ctrl-og-mel-15000.jpg,4855,255,255,255,0.525,1238025,1238025,1.469,0.681,0.804
151,ctrl-og-mel-15000.jpg,4799,255,255,255,0.575,1223745,1223745,1.850,0.540,0.841
152,ctrl-og-mel-15000.jpg,4370,255,255,255,0.614,1114350,1114350,2.415,0.414,0.898
153,ctrl-og-mel-15000.jpg,2844,255,255,255,0.672,725220,725220,1.804,0.554,0.939
154,ctrl-og-mel-15000.jpg,3463,255,255,255,0.514,883065,883065,2.563,0.390,0.885
155,ctrl-og-mel-15000.jpg,3391,255,255,255,0.718,864705,864705,1.739,0.575,0.923
156,ctrl-og-mel-15000.jpg,4351,255,255,255,0.506,1109505,1109505,2.722,0.367,0.879
157,ctrl-og-mel-15000.jpg,5350,255,255,255,0.697,1364250,1364250,1.240,0.806,0.916
158,ctrl-og-mel-15000.jpg,3064,255,255,255,0.752,781320,781320,1.223,0.818,0.945
159,ctrl-og-mel-15000.jpg,3812,255,255,255,0.529,972060,972060,1.517,0.659,0.824
160,ctrl-og-mel-15000.jpg,4025,255,255,255,0.702,1026375,1026375,1.324,0.756,0.899
161,ctrl-og-mel-15000.jpg,2857,255,255,255,0.664,728535,728535,1.592,0.628,0.904
162,ctrl-og-mel-15000.jpg,16663,255,255,255,0.245,4249065,4249065,2.240,0.446,0.601
163,ctrl-og-mel-15000.jpg,4207,255,255,255,0.583,1072785,1072785,1.766,0.566,0.882
164,ctrl-og-mel-15000.jpg,6972,255,255,255,0.598,1777860,1777860,1.243,0.804,0.832
165,ctrl-og-mel-15000.jpg,17773,255,255,255,0.266,4532115,4532115,2.217,0.451,0.542
166,ctrl-og-mel-15000.jpg,3680,255,255,255,0.614,938400,938400,1.275,0.784,0.870
167,ctrl-og-mel-15000.jpg,2486,255,255,255,0.629,633930,633930,1.758,0.569,0.899
168,ctrl-og-mel-15000.jpg,3790,255,255,255,0.606,966450,966450,1.667,0.600,0.869
169,ctrl-og-mel-15000.jpg,4095,255,255,255,0.691,1044225,1044225,1.304,0.767,0.882
170,ctrl-og-mel-15000.jpg,24657,255,255,255,0.492,6287535,6287535,1.408,0.710,0.796
171,ctrl-og-mel-15000.jpg,3343,255,255,255,0.555,852465,852465,1.659,0.603,0.822
172,ctrl-og-mel-15000.jpg,3303,255,255,255,0.579,842265,842265,2.060,0.486,0.896
173,ctrl-og-mel-15000.jpg,3123,255,255,255,0.471,796365,796365,3.669,0.273,0.910
174,ctrl-og-mel-15000.jpg,4437,255,255,255,0.562,1131435,1131435,1.897,0.527,0.861
175,ctrl-og-mel-15000.jpg,2686,255,255,255,0.670,684930,684930,1.765,0.567,0.894
176,ctrl-og-mel-15000.jpg,3112,255,255,255,0.448,793560,793560,2.189,0.457,0.743
177,ctrl-og-mel-15000.jpg,4082,255,255,255,0.462,1040910,1040910,3.216,0.311,0.812
178,ctrl-og-mel-15000.jpg,2841,255,255,255,0.663,724455,724455,1.316,0.760,0.875
179,ctrl-og-mel-15000.jpg,3186,255,255,255,0.647,812430,812430,1.596,0.627,0.874
180,ctrl-og-mel-15000.jpg,2834,255,255,255,0.503,722670,722670,1.295,0.772,0.787
181,ctrl-og-mel-15000.jpg,4761,255,255,255,0.580,1214055,1214055,1.397,0.716,0.837
182,ctrl-og-mel-15000.jpg,6469,255,255,255,0.788,1649595,1649595,1.198,0.835,0.936
183,ctrl-og-mel-15000.jpg,2136,255,255,255,0.661,544680,544680,1.391,0.719,0.864
184,ctrl-og-mel-15000.jpg,4335,255,255,255,0.536,1105425,1105425,2.412,0.415,0.835
185,ctrl-og-mel-15000.jpg,3390,255,255,255,0.470,864450,864450,1.683,0.594,0.730
186,ctrl-og-mel-15000.jpg,20414,255,255,255,0.595,5205570,5205570,1.496,0.668,0.897
187,ctrl-og-mel-15000.jpg,2100,255,255,255,0.632,535500,535500,1.870,0.535,0.896
188,ctrl-og-mel-15000.jpg,2983,255,255,255,0.671,760665,760665,2.043,0.489,0.915
189,ctrl-og-mel-15000.jpg,4613,255,255,255,0.270,1176315,1176315,1.221,0.819,0.775
190,ctrl-og-mel-15000.jpg,3714,255,255,255,0.689,947070,947070,1.687,0.593,0.939
191,ctrl-og-mel-15000.jpg,5259,255,255,255,0.672,1341045,1341045,2.081,0.481,0.928
192,ctrl-og-mel-15000.jpg,4049,255,255,255,0.497,1032495,1032495,1.634,0.612,0.802
193,ctrl-og-mel-15000.jpg,31711,255,255,255,0.312,8086305,8086305,1.667,0.600,0.806
194,ctrl-og-mel-15000.jpg,3642,255,255,255,0.671,928710,928710,1.424,0.702,0.882
195,ctrl-og-mel-15000.jpg,3087,255,255,255,0.721,787185,787185,1.452,0.689,0.902
196,ctrl-og-mel-15000.jpg,3995,255,255,255,0.636,1018725,1018725,1.619,0.618,0.913
197,ctrl-og-mel-15000.jpg,4911,255,255,255,0.441,1252305,1252305,2.263,0.442,0.778
198,ctrl-og-mel-15000.jpg,3489,255,255,255,0.671,889695,889695,1.679,0.596,0.926
199,ctrl-og-mel-15000.jpg,2667,255,255,255,0.509,680085,680085,1.315,0.760,0.798
200,ctrl-og-mel-15000.jpg,3694,255,255,255,0.494,941970,941970,1.752,0.571,0.809
201,ctrl-og-mel-15000.jpg,11327,255,255,255,0.644,2888385,2888385,1.375,0.727,0.887
202,ctrl-og-mel-15000.jpg,2637,255,255,255,0.488,672435,672435,2.687,0.372,0.821
203,ctrl-og-mel-15000.jpg,2073,255,255,255,0.635,528615,528615,1.774,0.564,0.898
204,ctrl-og-mel-15000.jpg,2103,255,255,255,0.637,536265,536265,1.754,0.570,0.866
205,ctrl-og-mel-15000.jpg,3094,255,255,255,0.543,788970,788970,2.311,0.433,0.839
206,ctrl-og-mel-15000.jpg,4848,255,255,255,0.599,1236240,1236240,1.853,0.540,0.882
207,ctrl-og-mel-15000.jpg,4153,255,255,255,0.766,1059015,1059015,1.217,0.821,0.927
208,ctrl-og-mel-15000.jpg,1788,255,255,255,0.633,455940,455940,1.573,0.636,0.859
209,ctrl-og-mel-15000.jpg,14910,255,255,255,0.380,3802050,3802050,2.337,0.428,0.732
210,ctrl-og-mel-15000.jpg,2595,255,255,255,0.665,661725,661725,1.124,0.890,0.919
211,ctrl-og-mel-15000.jpg,2276,255,255,255,0.845,580380,580380,1.355,0.738,0.958
212,ctrl-og-mel-15000.jpg,4702,255,255,255,0.620,1199010,1199010,1.165,0.858,0.851
213,ctrl-og-mel-15000.jpg,7679,255,255,255,0.437,1958145,1958145,1.499,0.667,0.765
214,ctrl-og-mel-15000.jpg,2057,255,255,255,0.718,524535,524535,1.337,0.748,0.920
215,ctrl-og-mel-15000.jpg,4071,255,255,255,0.538,1038105,1038105,2.417,0.414,0.893
216,ctrl-og-mel-15000.jpg,1933,255,255,255,0.658,492915,492915,1.869,0.535,0.914
217,ctrl-og-mel-15000.jpg,5838,255,255,255,0.686,1488690,1488690,1.766,0.566,0.908
218,ctrl-og-mel-15000.jpg,11317,255,255,255,0.362,2885835,2885835,1.597,0.626,0.652
219,ctrl-og-mel-15000.jpg,4065,255,255,255,0.552,1036575,1036575,2.893,0.346,0.927
220,ctrl-og-mel-15000.jpg,2276,255,255,255,0.721,580380,580380,1.451,0.689,0.906
221,ctrl-og-mel-15000.jpg,4020,255,255,255,0.495,1025100,1025100,2.716,0.368,0.835
222,ctrl-og-mel-15000.jpg,2498,255,255,255,0.634,636990,636990,2.071,0.483,0.914
223,ctrl-og-mel-15000.jpg,4637,255,255,255,0.698,1182435,1182435,1.678,0.596,0.912
224,ctrl-og-mel-15000.jpg,2598,255,255,255,0.687,662490,662490,1.307,0.765,0.906
225,ctrl-og-mel-15000.jpg,2222,255,255,255,0.657,566610,566610,1.671,0.599,0.905
226,ctrl-og-mel-15000.jpg,3913,255,255,255,0.586,997815,997815,2.148,0.466,0.906
227,ctrl-og-mel-15000.jpg,5925,255,255,255,0.334,1510875,1510875,2.285,0.438,0.571
228,ctrl-og-mel-15000.jpg,12904,255,255,255,0.454,3290520,3290520,1.883,0.531,0.822
229,ctrl-og-mel-15000.jpg,8014,255,255,255,0.752,2043570,2043570,1.063,0.941,0.922
230,ctrl-og-mel-15000.jpg,1811,255,255,255,0.526,461805,461805,2.520,0.397,0.865
231,ctrl-og-mel-15000.jpg,2324,255,255,255,0.482,592620,592620,1.249,0.801,0.745
232,ctrl-og-mel-15000.jpg,2631,255,255,255,0.619,670905,670905,1.568,0.638,0.862
233,ctrl-og-mel-15000.jpg,3273,255,255,255,0.541,834615,834615,2.215,0.451,0.885
234,ctrl-og-mel-15000.jpg,2299,255,255,255,0.518,586245,586245,2.418,0.414,0.872
235,ctrl-og-mel-15000.jpg,3634,255,255,255,0.619,926670,926670,1.281,0.781,0.864
236,ctrl-og-mel-15000.jpg,3045,255,255,255,0.732,776475,776475,1.652,0.605,0.939
237,ctrl-og-mel-15000.jpg,6023,255,255,255,0.632,1535865,1535865,2.150,0.465,0.914
238,ctrl-og-mel-15000.jpg,3252,255,255,255,0.715,829260,829260,1.528,0.654,0.928
239,ctrl-og-mel-15000.jpg,2368,255,255,255,0.496,603840,603840,2.206,0.453,0.870
240,ctrl-og-mel-15000.jpg,4685,255,255,255,0.565,1194675,1194675,2.435,0.411,0.867
241,ctrl-og-mel-15000.jpg,2445,255,255,255,0.738,623475,623475,1.572,0.636,0.919
242,ctrl-og-mel-15000.jpg,3901,255,255,255,0.626,994755,994755,1.521,0.658,0.867
243,ctrl-og-mel-15000.jpg,5278,255,255,255,0.801,1345890,1345890,1.244,0.804,0.938
244,ctrl-og-mel-15000.jpg,2619,255,255,255,0.611,667845,667845,1.744,0.573,0.867
245,ctrl-og-mel-15000.jpg,3927,255,255,255,0.677,1001385,1001385,1.177,0.850,0.865
246,ctrl-og-mel-15000.jpg,4699,255,255,255,0.353,1198245,1198245,2.579,0.388,0.696
247,ctrl-og-mel-15000.jpg,2709,255,255,255,0.658,690795,690795,1.167,0.857,0.875
248,ctrl-og-mel-15000.jpg,3254,255,255,255,0.579,829770,829770,2.565,0.390,0.920
249,ctrl-og-mel-15000.jpg,4336,255,255,255,0.652,1105680,1105680,1.766,0.566,0.910
250,ctrl-og-mel-15000.jpg,2875,255,255,255,0.403,733125,733125,2.661,0.376,0.745
251,ctrl-og-mel-15000.jpg,2223,255,255,255,0.526,566865,566865,2.534,0.395,0.849
252,ctrl-og-mel-15000.jpg,4362,255,255,255,0.390,1112310,1112310,2.512,0.398,0.720
253,ctrl-og-mel-15000.jpg,6469,255,255,255,0.432,1649595,1649595,1.641,0.610,0.729
254,ctrl-og-mel-15000.jpg,3120,255,255,255,0.526,795600,795600,1.972,0.507,0.851
255,ctrl-og-mel-15000.jpg,8131,255,255,255,0.690,2073405,2073405,1.551,0.645,0.886
256,ctrl-og-mel-15000.jpg,3724,255,255,255,0.561,949620,949620,1.655,0.604,0.859
257,ctrl-og-mel-15000.jpg,2420,255,255,255,0.633,617100,617100,1.781,0.561,0.871
258,ctrl-og-mel-15000.jpg,2670,255,255,255,0.437,680850,680850,2.580,0.388,0.782
259,ctrl-og-mel-15000.jpg,3634,255,255,255,0.574,926670,926670,1.371,0.729,0.835
260,ctrl-og-mel-15000.jpg,2281,255,255,255,0.558,581655,581655,2.098,0.477,0.882
261,ctrl-og-mel-15000.jpg,3164,255,255,255,0.541,806820,806820,1.833,0.546,0.792
262,ctrl-og-mel-15000.jpg,3073,255,255,255,0.522,783615,783615,2.238,0.447,0.812
263,ctrl-og-mel-15000.jpg,3416,255,255,255,0.710,871080,871080,1.293,0.773,0.889
264,ctrl-og-mel-15000.jpg,3020,255,255,255,0.759,770100,770100,1.214,0.824,0.920
265,ctrl-og-mel-15000.jpg,8860,255,255,255,0.749,2259300,2259300,1.185,0.844,0.923
266,ctrl-og-mel-15000.jpg,2565,255,255,255,0.684,654075,654075,1.506,0.664,0.905
267,ctrl-og-mel-15000.jpg,2803,255,255,255,0.601,714765,714765,1.528,0.654,0.905
268,ctrl-og-mel-15000.jpg,2905,255,255,255,0.600,740775,740775,2.115,0.473,0.902
269,ctrl-og-mel-15000.jpg,4136,255,255,255,0.604,1054680,1054680,1.439,0.695,0.834
270,ctrl-og-mel-15000.jpg,3727,255,255,255,0.422,950385,950385,3.085,0.324,0.818
271,ctrl-og-mel-15000.jpg,3104,255,255,255,0.625,791520,791520,1.888,0.530,0.929
272,ctrl-og-mel-15000.jpg,3631,255,255,255,0.451,925905,925905,1.341,0.746,0.748
273,ctrl-og-mel-15000.jpg,11868,255,255,255,0.320,3026340,3026340,1.978,0.506,0.599
274,ctrl-og-mel-15000.jpg,3921,255,255,255,0.528,999855,999855,3.311,0.302,0.927
275,ctrl-og-mel-15000.jpg,2111,255,255,255,0.608,538305,538305,2.302,0.434,0.912
276,ctrl-og-mel-15000.jpg,2859,255,255,255,0.735,729045,729045,1.219,0.820,0.941
277,ctrl-og-mel-15000.jpg,4447,255,255,255,0.421,1133985,1133985,2.779,0.360,0.828
278,ctrl-og-mel-15000.jpg,4319,255,255,255,0.520,1101345,1101345,1.724,0.580,0.791
279,ctrl-og-mel-15000.jpg,2507,255,255,255,0.576,639285,639285,1.496,0.669,0.853
280,ctrl-og-mel-15000.jpg,2815,255,255,255,0.625,717825,717825,2.202,0.454,0.900
281,ctrl-og-mel-15000.jpg,2141,255,255,255,0.514,545955,545955,2.759,0.362,0.828
282,ctrl-og-mel-15000.jpg,2588,255,255,255,0.689,659940,659940,1.651,0.606,0.889
283,ctrl-og-mel-15000.jpg,3149,255,255,255,0.611,802995,802995,1.134,0.882,0.811
284,ctrl-og-mel-15000.jpg,1906,255,255,255,0.416,486030,486030,2.444,0.409,0.766
285,ctrl-og-mel-15000.jpg,2290,255,255,255,0.632,583950,583950,1.800,0.555,0.902
286,ctrl-og-mel-15000.jpg,1919,255,255,255,0.675,489345,489345,1.140,0.877,0.911
287,ctrl-og-mel-15000.jpg,1757,255,255,255,0.635,448035,448035,2.073,0.482,0.888
288,ctrl-og-mel-15000.jpg,4774,255,255,255,0.476,1217370,1217370,1.232,0.812,0.762
289,ctrl-og-mel-15000.jpg,4774,255,255,255,0.544,1217370,1217370,1.386,0.721,0.830
290,ctrl-og-mel-15000.jpg,3555,255,255,255,0.600,906525,906525,1.585,0.631,0.914
291,ctrl-og-mel-15000.jpg,3154,255,255,255,0.606,804270,804270,1.402,0.713,0.857
292,ctrl-og-mel-15000.jpg,1552,255,255,255,0.777,395760,395760,1.212,0.825,0.922
293,ctrl-og-mel-15000.jpg,10372,255,255,255,0.576,2644860,2644860,1.158,0.864,0.876
294,ctrl-og-mel-15000.jpg,2451,255,255,255,0.628,625005,625005,2.022,0.495,0.905
295,ctrl-og-mel-15000.jpg,8114,255,255,255,0.650,2069070,2069070,1.403,0.713,0.910
296,ctrl-og-mel-15000.jpg,3029,255,255,255,0.669,772395,772395,1.535,0.652,0.896
297,ctrl-og-mel-15000.jpg,3139,255,255,255,0.479,800445,800445,2.457,0.407,0.870
298,ctrl-og-mel-15000.jpg,1834,255,255,255,0.665,467670,467670,1.368,0.731,0.884
299,ctrl-og-mel-15000.jpg,2750,255,255,255,0.703,701250,701250,1.840,0.543,0.946
300,ctrl-og-mel-15000.jpg,2166,255,255,255,0.533,552330,552330,1.433,0.698,0.793
301,ctrl-og-mel-15000.jpg,3986,255,255,255,0.615,1016430,1016430,1.168,0.856,0.849
302,ctrl-og-mel-15000.jpg,2535,255,255,255,0.585,646425,646425,1.640,0.610,0.847
303,ctrl-og-mel-15000.jpg,2955,255,255,255,0.722,753525,753525,1.192,0.839,0.917
304,ctrl-og-mel-15000.jpg,1874,255,255,255,0.814,477870,477870,1.453,0.688,0.952
305,ctrl-og-mel-15000.jpg,12166,255,255,255,0.291,3102330,3102330,1.346,0.743,0.723
306,ctrl-og-mel-15000.jpg,6888,255,255,255,0.337,1756440,1756440,1.834,0.545,0.728
307,ctrl-og-mel-15000.jpg,2430,255,255,255,0.551,619650,619650,2.265,0.442,0.880
308,ctrl-og-mel-15000.jpg,2516,255,255,255,0.498,641580,641580,1.468,0.681,0.810
309,ctrl-og-mel-15000.jpg,2897,255,255,255,0.560,738735,738735,1.708,0.585,0.838
310,ctrl-og-mel-15000.jpg,2484,255,255,255,0.600,633420,633420,2.594,0.386,0.884
311,ctrl-og-mel-15000.jpg,2233,255,255,255,0.531,569415,569415,1.685,0.593,0.825
312,ctrl-og-mel-15000.jpg,2552,255,255,255,0.603,650760,650760,2.029,0.493,0.886
