 ,Area,Mean,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
100,5114,255,325.245,0.608,1304070,1304070,1.160,0.862,0.952
101,4536,255,297.304,0.645,1156680,1156680,1.120,0.893,0.955
102,4420,255,323.831,0.530,1127100,1127100,1.718,0.582,0.937
103,4798,255,302.375,0.659,1223490,1223490,1.261,0.793,0.958
104,4899,255,310.517,0.638,1249245,1249245,1.235,0.810,0.957
105,5434,255,321.688,0.660,1385670,1385670,1.169,0.856,0.959
106,4850,255,309.931,0.634,1236750,1236750,1.316,0.760,0.960
107,7833,255,522.039,0.361,1997415,1997415,1.388,0.720,0.871
108,4936,255,309.647,0.647,1258680,1258680,1.516,0.660,0.954
109,6222,255,350.215,0.637,1586610,1586610,1.259,0.794,0.961
110,4739,255,296.818,0.676,1208445,1208445,1.129,0.886,0.960
111,5523,255,348.659,0.571,1408365,1408365,1.819,0.550,0.956
112,5105,255,320.517,0.624,1301775,1301775,1.255,0.797,0.951
113,3728,255,438.198,0.244,950640,950640,2.201,0.454,0.743
114,3464,255,279.161,0.559,883320,883320,1.298,0.771,0.914
115,3651,255,262.434,0.666,931005,931005,1.055,0.948,0.947
116,5492,255,315.688,0.693,1400460,1400460,1.128,0.886,0.958
117,6278,255,377.186,0.555,1600890,1600890,1.429,0.700,0.920
118,22071,255,1154.143,0.208,5628105,5628105,1.233,0.811,0.788
119,4718,255,324.759,0.562,1203090,1203090,1.310,0.763,0.950
120,9268,255,504.382,0.458,2363340,2363340,1.724,0.580,0.888
121,3690,255,264.434,0.663,940950,940950,1.407,0.711,0.947
122,5737,255,334.902,0.643,1462935,1462935,1.362,0.734,0.960
123,7873,255,467.453,0.453,2007615,2007615,1.406,0.711,0.952
124,7034,255,432.541,0.472,1793670,1793670,1.472,0.679,0.951
125,7400,255,417.269,0.534,1887000,1887000,1.407,0.711,0.956
126,5961,255,390.985,0.490,1520055,1520055,1.674,0.597,0.951
127,8093,255,421.955,0.571,2063715,2063715,1.317,0.759,0.958
128,7845,255,446.583,0.494,2000475,2000475,1.403,0.713,0.951
129,11723,255,992.362,0.150,2989365,2989365,1.902,0.526,0.781
130,12051,255,933.148,0.174,3073005,3073005,1.794,0.557,0.827
