 ,Area,Mean,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
500,18,255,31.456,0.229,4590,4590,1.262,0.792,0.486
501,11,255,21.799,0.291,2805,2805,1.875,0.533,0.489
502,16,255,34.870,0.165,4080,4080,2.713,0.369,0.416
503,15,255,32.870,0.174,3825,3825,2.656,0.377,0.417
504,48,255,81.397,0.091,12240,12240,2.397,0.417,0.402
505,30,255,42.770,0.206,7650,7650,1.662,0.602,0.508
506,16,255,37.113,0.146,4080,4080,1.440,0.694,0.444
507,10,255,18.385,0.372,2550,2550,1.216,0.823,0.541
508,12,255,26.627,0.213,3060,3060,1.893,0.528,0.387
509,18,255,34.284,0.192,4590,4590,4.064,0.246,0.439
510,10,255,18.142,0.382,2550,2550,1.592,0.628,0.606
511,14,255,30.042,0.195,3570,3570,1.953,0.512,0.500
512,45,255,74.811,0.101,11475,11475,1.806,0.554,0.402
513,32,255,69.154,0.084,8160,8160,3.850,0.260,0.258
514,13,255,28.627,0.199,3315,3315,1.232,0.812,0.441
515,22,255,42.184,0.155,5610,5610,1.499,0.667,0.379
516,10,255,12.485,0.806,2550,2550,1.186,0.844,0.769
517,89,255,120.995,0.076,22695,22695,3.187,0.314,0.436
518,11,255,22.385,0.276,2805,2805,1.697,0.589,0.423
519,13,255,25.213,0.257,3315,3315,1.450,0.689,0.481
520,10,255,22.627,0.245,2550,2550,1.601,0.625,0.488
521,10,255,21.556,0.270,2550,2550,1.727,0.579,0.500
522,14,255,32.284,0.169,3570,3570,2.220,0.450,0.373
523,84,255,130.894,0.062,21420,21420,3.341,0.299,0.339
524,11,255,18.142,0.420,2805,2805,1.921,0.521,0.579
525,11,255,22.971,0.262,2805,2805,2.674,0.374,0.478
526,24,255,39.698,0.191,6120,6120,5.155,0.194,0.516
527,34,255,64.569,0.102,8670,8670,1.207,0.828,0.417
528,399,255,366.056,0.037,101745,101745,2.121,0.471,0.376
529,20,255,25.799,0.378,5100,5100,1.697,0.589,0.625
530,14,255,30.870,0.185,3570,3570,2.383,0.420,0.406
531,10,255,21.799,0.264,2550,2550,3.888,0.257,0.455
532,11,255,26.042,0.204,2805,2805,3.879,0.258,0.524
533,12,255,27.213,0.204,3060,3060,1.596,0.627,0.453
534,23,255,25.799,0.434,5865,5865,1.853,0.540,0.648
535,20,255,41.355,0.147,5100,5100,1.113,0.898,0.482
536,10,255,16.728,0.449,2550,2550,1.747,0.572,0.606
537,10,255,18.142,0.382,2550,2550,3.182,0.314,0.606
538,14,255,18.971,0.489,3570,3570,1.562,0.640,0.667
539,18,255,25.799,0.340,4590,4590,1.427,0.701,0.590
540,200,255,118.995,0.177,51000,51000,1.159,0.863,0.640
541,14,255,25.213,0.277,3570,3570,1.575,0.635,0.509
542,50,255,55.841,0.202,12750,12750,1.429,0.700,0.476
543,35,255,58.326,0.129,8925,8925,1.874,0.534,0.387
544,11,255,21.213,0.307,2805,2805,1.030,0.971,0.512
545,12,255,17.556,0.489,3060,3060,1.945,0.514,0.667
546,18,255,30.042,0.251,4590,4590,1.425,0.702,0.486
547,24,255,48.770,0.127,6120,6120,1.774,0.564,0.372
548,26,255,37.941,0.227,6630,6630,1.659,0.603,0.531
549,12,255,22.627,0.295,3060,3060,2.239,0.447,0.490
550,15,255,27.456,0.250,3825,3825,1.916,0.522,0.484
551,13,255,24.627,0.269,3315,3315,1.886,0.530,0.520
552,333,255,239.161,0.073,84915,84915,3.656,0.274,0.468
553,10,255,21.799,0.264,2550,2550,2.547,0.393,0.417
554,15,255,16.142,0.723,3825,3825,1.290,0.775,0.789
555,243,255,132.066,0.175,61965,61965,1.139,0.878,0.618
556,10,255,18.142,0.382,2550,2550,1.220,0.820,0.667
557,15,255,23.799,0.333,3825,3825,1.264,0.791,0.556
558,4695,255,1174.251,0.043,1197225,1197225,1.069,0.935,0.758
559,17,255,30.042,0.237,4335,4335,2.115,0.473,0.486
560,11,255,26.870,0.191,2805,2805,1.196,0.836,0.393
561,17,255,27.456,0.283,4335,4335,1.477,0.677,0.486
562,15,255,34.527,0.158,3825,3825,1.621,0.617,0.405
563,13,255,20.385,0.393,3315,3315,2.309,0.433,0.591
564,109,255,113.581,0.106,27795,27795,1.597,0.626,0.461
565,10,255,16.728,0.449,2550,2550,2.336,0.428,0.625
566,23,255,37.456,0.206,5865,5865,1.959,0.510,0.541
567,88,255,88.711,0.141,22440,22440,1.616,0.619,0.533
568,14,255,25.213,0.277,3570,3570,2.895,0.345,0.431
569,59,255,50.770,0.288,15045,15045,1.299,0.770,0.694
570,14,255,15.556,0.727,3570,3570,1.315,0.760,0.718
571,33,255,55.497,0.135,8415,8415,1.363,0.733,0.482
572,13,255,28.627,0.199,3315,3315,1.267,0.789,0.394
573,24,255,43.598,0.159,6120,6120,2.190,0.457,0.429
574,13,255,27.799,0.211,3315,3315,1.878,0.532,0.388
575,17,255,25.213,0.336,4335,4335,1.722,0.581,0.531
576,15,255,29.456,0.217,3825,3825,1.466,0.682,0.380
577,16,255,30.042,0.223,4080,4080,1.697,0.589,0.444
578,21,255,28.627,0.322,5355,5355,1.547,0.646,0.525
579,14,255,28.870,0.211,3570,3570,2.379,0.420,0.406
580,17,255,33.456,0.191,4335,4335,2.105,0.475,0.531
581,42,255,56.083,0.168,10710,10710,1.329,0.752,0.488
582,110,255,122.995,0.091,28050,28050,1.113,0.899,0.509
583,11,255,20.385,0.333,2805,2805,1.614,0.619,0.500
584,27,255,47.255,0.152,6885,6885,2.010,0.498,0.391
585,13,255,24.042,0.283,3315,3315,2.203,0.454,0.473
586,10,255,15.314,0.536,2550,2550,1.791,0.558,0.625
587,28,255,40.184,0.218,7140,7140,2.662,0.376,0.491
588,47,255,54.083,0.202,11985,11985,1.907,0.525,0.528
589,15,255,29.456,0.217,3825,3825,3.004,0.333,0.390
590,69,255,60.669,0.236,17595,17595,1.057,0.946,0.627
591,12,255,25.213,0.237,3060,3060,1.947,0.513,0.511
592,13,255,21.314,0.360,3315,3315,4.361,0.229,0.634
593,57,255,68.569,0.152,14535,14535,2.051,0.487,0.456
594,18,255,27.213,0.305,4590,4590,1.584,0.631,0.537
595,43,255,57.740,0.162,10965,10965,2.175,0.460,0.446
596,77,255,126.409,0.061,19635,19635,2.480,0.403,0.382
597,19,255,21.799,0.502,4845,4845,1.300,0.769,0.679
598,10,255,21.556,0.270,2550,2550,1.652,0.605,0.513
599,15,255,24.627,0.311,3825,3825,1.215,0.823,0.566
600,14,255,18.385,0.521,3570,3570,1.956,0.511,0.636
601,17,255,31.698,0.213,4335,4335,1.461,0.685,0.486
602,13,255,29.456,0.188,3315,3315,1.813,0.552,0.441
603,101,255,117.823,0.091,25755,25755,2.458,0.407,0.469
604,19,255,30.870,0.251,4845,4845,1.241,0.806,0.463
605,24,255,36.284,0.229,6120,6120,2.229,0.449,0.565
606,19,255,34.527,0.200,4845,4845,2.442,0.410,0.469
607,35,255,47.355,0.196,8925,8925,1.714,0.583,0.560
608,28,255,44.184,0.180,7140,7140,2.116,0.473,0.519
609,10,255,18.728,0.358,2550,2550,1.469,0.681,0.588
610,14,255,22.627,0.344,3570,3570,2.398,0.417,0.549
611,19,255,26.042,0.352,4845,4845,1.828,0.547,0.585
612,609,255,414.825,0.044,155295,155295,3.298,0.303,0.441
613,13,255,22.142,0.333,3315,3315,3.498,0.286,0.591
614,44,255,41.113,0.327,11220,11220,2.326,0.430,0.647
615,73,255,76.468,0.157,18615,18615,2.947,0.339,0.531
616,30,255,55.255,0.123,7650,7650,2.937,0.340,0.420
617,28,255,54.083,0.120,7140,7140,2.577,0.388,0.427
618,65,255,64.669,0.195,16575,16575,2.445,0.409,0.522
619,43,255,51.255,0.206,10965,10965,2.353,0.425,0.524
620,21,255,43.355,0.140,5355,5355,1.761,0.568,0.372
621,302,255,365.571,0.028,77010,77010,1.667,0.600,0.371
