 ,Area,Mean,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
132,17,255,28.042,0.272,4335,4335,3.522,0.284,0.507
133,240,255,314.701,0.030,61200,61200,1.445,0.692,0.292
134,182,255,145.037,0.109,46410,46410,2.380,0.420,0.531
135,10,255,15.556,0.519,2550,2550,1.641,0.609,0.588
136,14,255,24.627,0.290,3570,3570,1.363,0.734,0.519
137,44,255,61.740,0.145,11220,11220,1.859,0.538,0.503
138,385,255,272.960,0.065,98175,98175,2.044,0.489,0.538
139,12,255,22.385,0.301,3060,3060,1.383,0.723,0.545
140,17,255,34.042,0.184,4335,4335,2.150,0.465,0.466
141,18,255,25.213,0.356,4590,4590,1.649,0.607,0.590
