 ,Area,Mean,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
117,4156,255,389.370,0.344,1059780,1059780,1.256,0.796,0.935
118,6323,255,421.855,0.446,1612365,1612365,1.480,0.676,0.957
119,5949,255,376.843,0.526,1516995,1516995,1.183,0.846,0.957
120,6912,255,414.299,0.506,1762560,1762560,1.250,0.800,0.955
121,6617,255,424.156,0.462,1687335,1687335,1.364,0.733,0.955
122,5359,255,775.609,0.112,1366545,1366545,1.527,0.655,0.917
123,50,255,43.941,0.325,12750,12750,1.135,0.881,0.699
124,5717,255,1367.596,0.038,1457835,1457835,1.533,0.653,0.880
125,17104,255,1538.206,0.091,4361520,4361520,1.648,0.607,0.783
126,5736,255,351.387,0.584,1462680,1462680,1.248,0.801,0.957
127,5198,255,339.144,0.568,1325490,1325490,1.394,0.717,0.960
128,4675,255,711.727,0.116,1192125,1192125,1.312,0.762,0.913
129,339,255,373.470,0.031,86445,86445,1.310,0.764,0.490
130,5381,255,350.843,0.549,1372155,1372155,1.141,0.877,0.951
131,19,255,27.213,0.322,4845,4845,2.938,0.340,0.623
132,8014,255,436.098,0.530,2043570,2043570,1.200,0.833,0.961
133,5976,255,416.340,0.433,1523880,1523880,1.178,0.849,0.952
134,12002,255,708.230,0.301,3060510,3060510,1.551,0.645,0.895
135,3706,255,326.316,0.437,945030,945030,1.405,0.712,0.940
136,5938,255,473.210,0.333,1514190,1514190,1.756,0.569,0.944
137,5916,255,333.144,0.670,1508580,1508580,1.235,0.809,0.958
138,6004,255,354.458,0.601,1531020,1531020,1.152,0.868,0.956
139,5647,255,345.487,0.595,1439985,1439985,1.641,0.610,0.955
140,7295,255,402.985,0.564,1860225,1860225,1.338,0.747,0.961
141,216,255,119.924,0.189,55080,55080,2.120,0.472,0.738
142,6479,255,360.357,0.627,1652145,1652145,1.521,0.657,0.956
143,6463,255,369.730,0.594,1648065,1648065,1.284,0.779,0.961
144,6246,255,387.529,0.523,1592730,1592730,1.135,0.881,0.957
