 ,Label,Area,Mean,Min,Max,Circ.,IntDen,RawIntDen,AR,Round,Solidity
528,ctrl-og-15000-T.jpg,4098,255,255,255,0.612,1044990,1044990,2.210,0.453,0.940
529,ctrl-og-15000-T.jpg,15424,255,255,255,0.768,3933120,3933120,1.137,0.879,0.940
530,ctrl-og-15000-T.jpg,7649,255,255,255,0.795,1950495,1950495,1.144,0.874,0.953
531,ctrl-og-15000-T.jpg,10974,255,255,255,0.465,2798370,2798370,1.804,0.554,0.780
532,ctrl-og-15000-T.jpg,4126,255,255,255,0.558,1052130,1052130,2.675,0.374,0.900
533,ctrl-og-15000-T.jpg,6097,255,255,255,0.752,1554735,1554735,1.060,0.944,0.935
534,ctrl-og-15000-T.jpg,4491,255,255,255,0.452,1145205,1145205,3.581,0.279,0.887
535,ctrl-og-15000-T.jpg,7582,255,255,255,0.459,1933410,1933410,2.507,0.399,0.829
536,ctrl-og-15000-T.jpg,3707,255,255,255,0.742,945285,945285,1.587,0.630,0.948
537,ctrl-og-15000-T.jpg,5258,255,255,255,0.645,1340790,1340790,1.358,0.736,0.878
538,ctrl-og-15000-T.jpg,8727,255,255,255,0.665,2225385,2225385,1.569,0.637,0.886
539,ctrl-og-15000-T.jpg,5864,255,255,255,0.485,1495320,1495320,2.042,0.490,0.818
540,ctrl-og-15000-T.jpg,5126,255,255,255,0.707,1307130,1307130,1.390,0.719,0.929
541,ctrl-og-15000-T.jpg,7589,255,255,255,0.762,1935195,1935195,1.502,0.666,0.955
542,ctrl-og-15000-T.jpg,1307,255,255,255,0.684,333285,333285,1.030,0.970,0.888
543,ctrl-og-15000-T.jpg,6484,255,255,255,0.535,1653420,1653420,2.760,0.362,0.895
544,ctrl-og-15000-T.jpg,6427,255,255,255,0.649,1638885,1638885,1.535,0.652,0.894
545,ctrl-og-15000-T.jpg,4056,255,255,255,0.653,1034280,1034280,1.422,0.703,0.892
546,ctrl-og-15000-T.jpg,3490,255,255,255,0.609,889950,889950,1.606,0.623,0.846
547,ctrl-og-15000-T.jpg,5255,255,255,255,0.624,1340025,1340025,1.843,0.543,0.930
548,ctrl-og-15000-T.jpg,22934,255,255,255,0.638,5848170,5848170,1.511,0.662,0.893
549,ctrl-og-15000-T.jpg,4994,255,255,255,0.544,1273470,1273470,1.305,0.766,0.771
550,ctrl-og-15000-T.jpg,9880,255,255,255,0.802,2519400,2519400,1.375,0.727,0.961
551,ctrl-og-15000-T.jpg,4572,255,255,255,0.671,1165860,1165860,1.625,0.615,0.895
552,ctrl-og-15000-T.jpg,12629,255,255,255,0.577,3220395,3220395,1.673,0.598,0.856
553,ctrl-og-15000-T.jpg,3105,255,255,255,0.740,791775,791775,1.429,0.700,0.929
554,ctrl-og-15000-T.jpg,3946,255,255,255,0.561,1006230,1006230,2.613,0.383,0.885
555,ctrl-og-15000-T.jpg,5629,255,255,255,0.596,1435395,1435395,1.649,0.607,0.873
556,ctrl-og-15000-T.jpg,4029,255,255,255,0.677,1027395,1027395,1.990,0.502,0.898
557,ctrl-og-15000-T.jpg,4906,255,255,255,0.849,1251030,1251030,1.127,0.887,0.962
558,ctrl-og-15000-T.jpg,7439,255,255,255,0.751,1896945,1896945,1.153,0.867,0.924
559,ctrl-og-15000-T.jpg,18363,255,255,255,0.603,4682565,4682565,1.081,0.925,0.873
560,ctrl-og-15000-T.jpg,17990,255,255,255,0.749,4587450,4587450,1.082,0.925,0.925
561,ctrl-og-15000-T.jpg,6556,255,255,255,0.629,1671780,1671780,1.227,0.815,0.845
562,ctrl-og-15000-T.jpg,3526,255,255,255,0.756,899130,899130,1.576,0.635,0.948
563,ctrl-og-15000-T.jpg,18570,255,255,255,0.611,4735350,4735350,1.721,0.581,0.873
564,ctrl-og-15000-T.jpg,4075,255,255,255,0.536,1039125,1039125,2.764,0.362,0.911
565,ctrl-og-15000-T.jpg,6041,255,255,255,0.416,1540455,1540455,2.124,0.471,0.768
566,ctrl-og-15000-T.jpg,4708,255,255,255,0.755,1200540,1200540,1.299,0.770,0.912
567,ctrl-og-15000-T.jpg,14031,255,255,255,0.640,3577905,3577905,1.424,0.702,0.877
568,ctrl-og-15000-T.jpg,2660,255,255,255,0.616,678300,678300,2.170,0.461,0.919
569,ctrl-og-15000-T.jpg,5889,255,255,255,0.677,1501695,1501695,1.588,0.630,0.946
570,ctrl-og-15000-T.jpg,11080,255,255,255,0.742,2825400,2825400,1.218,0.821,0.939
571,ctrl-og-15000-T.jpg,6941,255,255,255,0.732,1769955,1769955,1.297,0.771,0.936
572,ctrl-og-15000-T.jpg,4500,255,255,255,0.554,1147500,1147500,2.640,0.379,0.899
573,ctrl-og-15000-T.jpg,27657,255,255,255,0.273,7052535,7052535,2.416,0.414,0.736
574,ctrl-og-15000-T.jpg,3572,255,255,255,0.700,910860,910860,1.211,0.826,0.925
575,ctrl-og-15000-T.jpg,21556,255,255,255,0.608,5496780,5496780,1.274,0.785,0.864
576,ctrl-og-15000-T.jpg,10622,255,255,255,0.684,2708610,2708610,1.223,0.817,0.902
577,ctrl-og-15000-T.jpg,10833,255,255,255,0.586,2762415,2762415,2.154,0.464,0.847
