 ,Area,Mean,Perim.,IntDen,RawIntDen
196,65,255,64.912,16575,16575
197,23,255,25.456,5865,5865
198,2958,255,765.685,754290,754290
199,23,255,23.799,5865,5865
200,170,255,136.894,43350,43350
201,11874,255,3968.022,3027870,3027870
202,166,255,181.078,42330,42330
203,437,255,132.995,111435,111435
204,17,255,22.385,4335,4335
205,22,255,23.799,5610,5610
206,29,255,30.870,7395,7395
207,3283,255,409.955,837165,837165
208,24,255,30.627,6120,6120
209,84,255,80.711,21420,21420
210,22,255,20.142,5610,5610
211,15,255,19.314,3825,3825
212,30,255,35.113,7650,7650
213,42,255,49.012,10710,10710
214,31,255,29.456,7905,7905
215,28,255,29.213,7140,7140
216,6988,255,1869.066,1781940,1781940
217,15,255,23.799,3825,3825
218,25,255,37.941,6375,6375
219,21,255,27.213,5355,5355
220,27,255,36.042,6885,6885
221,245,255,177.907,62475,62475
222,48,255,54.669,12240,12240
223,19,255,29.698,4845,4845
224,5980,255,1523.738,1524900,1524900
225,22,255,32.284,5610,5610
226,43,255,47.841,10965,10965
227,22,255,33.456,5610,5610
228,64,255,50.426,16320,16320
229,727,255,393.127,185385,185385
230,21,255,25.213,5355,5355
231,2482,255,920.521,632910,632910
232,57,255,43.941,14535,14535
233,16,255,26.627,4080,4080
234,20267,255,6047.522,5168085,5168085
235,2188,255,884.379,557940,557940
236,20,255,32.870,5100,5100
237,26,255,33.456,6630,6630
238,18,255,19.556,4590,4590
239,17,255,20.971,4335,4335
240,18,255,23.799,4590,4590
241,31,255,26.971,7905,7905
242,19,255,25.799,4845,4845
243,40,255,46.770,10200,10200
244,15,255,23.213,3825,3825
245,57,255,42.527,14535,14535
246,16,255,27.213,4080,4080
247,17,255,23.556,4335,4335
248,20,255,22.385,5100,5100
249,17,255,21.213,4335,4335
250,17,255,20.142,4335,4335
251,1482,255,567.862,377910,377910
252,16,255,24.385,4080,4080
253,139,255,90.368,35445,35445
254,69,255,73.640,17595,17595
255,27,255,43.941,6885,6885
256,107,255,72.083,27285,27285
257,35,255,36.627,8925,8925
258,15,255,18.728,3825,3825
259,22,255,30.627,5610,5610
260,25,255,34.870,6375,6375
261,30,255,37.698,7650,7650
262,5256,255,1591.964,1340280,1340280
263,1360,255,299.789,346800,346800
264,29,255,29.799,7395,7395
265,32,255,38.284,8160,8160
266,35,255,37.113,8925,8925
267,4820,255,1257.121,1229100,1229100
268,70,255,57.255,17850,17850
269,511,255,335.186,130305,130305
270,24,255,32.042,6120,6120
271,2246,255,722.372,572730,572730
272,24,255,22.385,6120,6120
273,53,255,55.255,13515,13515
274,55,255,53.841,14025,14025
275,827,255,395.269,210885,210885
276,79,255,57.598,20145,20145
277,56,255,58.426,14280,14280
278,15,255,22.385,3825,3825
279,64,255,51.598,16320,16320
280,62,255,64.326,15810,15810
281,21,255,17.314,5355,5355
282,36,255,34.284,9180,9180
283,146,255,91.782,37230,37230
284,22,255,32.284,5610,5610
285,44,255,49.598,11220,11220
286,15,255,17.899,3825,3825
287,16415,255,3958.081,4185825,4185825
288,284,255,189.563,72420,72420
289,15,255,18.385,3825,3825
290,25,255,23.799,6375,6375
291,23,255,30.870,5865,5865
292,44,255,54.912,11220,11220
293,16,255,18.971,4080,4080
294,37,255,45.113,9435,9435
295,331,255,190.007,84405,84405
296,25,255,31.456,6375,6375
297,546,255,286.233,139230,139230
298,124,255,73.983,31620,31620
299,29,255,27.799,7395,7395
300,19,255,28.042,4845,4845
301,16,255,23.213,4080,4080
302,16,255,20.971,4080,4080
303,29,255,32.284,7395,7395
304,416,255,227.948,106080,106080
305,21,255,44.426,5355,5355
306,32,255,40.527,8160,8160
307,61,255,57.255,15555,15555
308,118,255,108.610,30090,30090
309,207,255,176.350,52785,52785
310,30,255,26.971,7650,7650
311,31,255,24.728,7905,7905
312,7929,255,2144.571,2021895,2021895
313,18,255,24.971,4590,4590
314,654,255,338.357,166770,166770
315,22,255,24.385,5610,5610
316,18,255,28.042,4590,4590
317,43,255,60.669,10965,10965
318,18,255,23.799,4590,4590
319,35,255,51.355,8925,8925
320,38,255,30.627,9690,9690
321,98,255,91.196,24990,24990
322,2301,255,617.862,586755,586755
323,35,255,57.497,8925,8925
324,49,255,55.255,12495,12495
325,20,255,28.627,5100,5100
326,17,255,22.971,4335,4335
327,34,255,39.941,8670,8670
328,25,255,32.627,6375,6375
329,4023,255,485.352,1025865,1025865
330,23,255,28.627,5865,5865
331,23,255,32.870,5865,5865
332,20,255,26.042,5100,5100
333,922,255,356.701,235110,235110
334,4932,255,1088.913,1257660,1257660
335,63,255,47.598,16065,16065
336,442,255,306.801,112710,112710
337,44,255,39.941,11220,11220
338,15,255,14.728,3825,3825
339,18,255,25.799,4590,4590
340,22,255,24.627,5610,5610
341,15,255,22.385,3825,3825
342,230,255,187.765,58650,58650
343,41,255,34.042,10455,10455
344,3722,255,1438.886,949110,949110
345,32,255,37.355,8160,8160
346,6365,255,1643.863,1623075,1623075
347,49,255,34.284,12495,12495
